scenario,estimator,trajectory,noise_regime,n_runs,ate_mean,ate_std,ate_ci_lo,ate_ci_hi,ate_median,rpe_mean,rpe_std,rmse_pos_mean,rmse_pos_std,rmse_hdg_mean,rmse_hdg_std,anis_mean,anis_std,anis_lb,anis_ub,anees_mean,anees_std,anees_lb,anees_ub,rt_mean,rt_std,nis_ok,nees_ok
standard,Adaptive-EKF,circle,high,30.0,0.13156575308164914,0.003232590617712075,0.1303586839073688,0.13277282225592948,0.13078427845276727,0.12620479694505335,0.014352490018428426,0.13156575308164914,0.003232590617712075,0.05892161060413995,0.0020609178151820484,1.0758719437242497,0.012036431474338782,0.7294068619607659,1.312621028451283,0.8631700408145635,0.042203194946885146,0.7294068619607659,1.312621028451283,1274.899453466666,34.53957788184292,True,True
standard,Adaptive-UKF,circle,high,30.0,0.06449217373160156,0.003085649467503715,0.0633399732845513,0.06564437417865181,0.06376533071992557,0.05748734824003824,0.008676147631216425,0.06449217373160156,0.003085649467503715,0.05884275900643692,0.017364836399297784,1.0492335732127442,0.008425603799527885,0.7294068619607659,1.312621028451283,0.6947863004240795,0.049915131770336525,0.7294068619607659,1.312621028451283,4908.037365200002,602.1146197580372,True,False
standard,EKF,straight,low,30.0,0.0165862224237699,0.0005176364546896943,0.01639293379497906,0.016779511052560737,0.01656385670331665,0.014931436855731256,0.0016353788316467578,0.0165862224237699,0.0005176364546896943,0.004978899476466996,0.00018520389141242746,0.00498596328144358,0.00012073430744968104,0.7294068619607659,1.312621028451283,0.003672396754975804,0.00019264846791472911,0.7294068619607659,1.312621028451283,855.4366035000005,98.53605624582205,False,False
standard,UKF,straight,low,30.0,0.03789347213662735,0.0006046464430926677,0.037667693444207596,0.03811925082904711,0.03793700697356142,0.0061796325326477245,0.0008216332762680864,0.03789347213662735,0.0006046464430926677,0.004224453433920839,0.0001632873529691014,0.011316899411769714,0.00014628307282915745,0.7294068619607659,1.312621028451283,0.08273477801214761,0.0026014652244958658,0.7294068619607659,1.312621028451283,4594.933233999999,49.600728997905556,False,False
standard,Adaptive-EKF,straight,low,30.0,0.03329148612641802,0.0007128640672454954,0.03302529830903421,0.033557673943801825,0.03326905437567012,0.03465223727966193,0.004144849665093404,0.03329148612641802,0.0007128640672454954,0.009601941767682677,0.00038368977574243334,0.525490453314474,0.011240160306679908,0.7294068619607659,1.312621028451283,0.8383555022199891,0.048184115144866674,0.7294068619607659,1.312621028451283,1307.9109372333335,60.73493563680387,False,True
standard,Adaptive-UKF,straight,low,30.0,0.024754430820940313,0.0005855205422419376,0.024535793857269242,0.024973067784611384,0.024709566484219937,0.024764659568585028,0.0031709182620426285,0.024754430820940313,0.0005855205422419376,0.009548413848656694,0.0003846183852413086,0.6519541428124989,0.007789900125007323,0.7294068619607659,1.312621028451283,0.5633090801114546,0.030881290415563988,0.7294068619607659,1.312621028451283,5068.152185833334,605.6270852169974,False,False
standard,EKF,straight,medium,30.0,0.03772254862302222,0.0011050920746967629,0.03730990046064771,0.03813519678539673,0.037711694582672026,0.037221532581322214,0.0041741815642467915,0.03772254862302222,0.0011050920746967629,0.012447101483627378,0.000462967239419044,0.0299390049799422,0.0007558724455872938,0.7294068619607659,1.312621028451283,0.019618416691537344,0.0009625283327386211,0.7294068619607659,1.312621028451283,812.533240599999,18.55929848051983,False,False
standard,UKF,straight,medium,30.0,0.04073753064319995,0.0015289861927792882,0.04016659781579776,0.041308463470602144,0.040814020587393585,0.01432734932293866,0.0020229954041518766,0.04073753064319995,0.0015289861927792882,0.010560882862580796,0.0004081269715430564,0.04015146467413643,0.0008542267688668358,0.7294068619607659,1.312621028451283,0.09788305770804932,0.006995323737677005,0.7294068619607659,1.312621028451283,4663.9118193999975,54.39692744533846,False,False
standard,Adaptive-EKF,straight,medium,30.0,0.06185197017139195,0.0014056548816893703,0.061327090012405154,0.06237685033037874,0.06168400420736221,0.06360464553329062,0.007801976068685757,0.06185197017139195,0.0014056548816893703,0.024004845402691537,0.0009592225233766377,0.809987798592421,0.013843459981473537,0.7294068619607659,1.312621028451283,0.8263086104512906,0.04807229237209653,0.7294068619607659,1.312621028451283,1301.2916848666653,33.99003991340744,True,True
standard,Adaptive-UKF,straight,medium,30.0,0.037975077841803956,0.001099659339324652,0.037564458296156775,0.03838569738745114,0.03775472276977581,0.037125071984242704,0.004623631987210204,0.037975077841803956,0.001099659339324652,0.023871026871584274,0.0009615459671065307,0.7853802218327736,0.010533595417205015,0.7294068619607659,1.312621028451283,0.554163114144785,0.028919945950696288,0.7294068619607659,1.312621028451283,5084.234685899996,700.9132138714723,True,False
standard,EKF,straight,high,30.0,0.11121577715523467,0.0031017935371093234,0.11005754841352144,0.1123740058969479,0.11105452053134726,0.11167895124872647,0.012719001836749263,0.11121577715523467,0.0031017935371093234,0.03734111044047804,0.0013888453101121572,0.26758437325384715,0.006808558967422902,0.7294068619607659,1.312621028451283,0.17162756090212714,0.008111578774523643,0.7294068619607659,1.312621028451283,822.9960469666632,20.51461173480588,False,False
standard,UKF,straight,high,30.0,0.06196408936286831,0.004231070014000386,0.06038418185458739,0.06354399687114924,0.06238934289022863,0.042502905522524205,0.0060169223398489095,0.06196408936286831,0.004231070014000386,0.03168231940252489,0.0012242597897820116,0.31466899923935227,0.007611928382682791,0.7294068619607659,1.312621028451283,0.2449001064044436,0.028529675108075494,0.7294068619607659,1.312621028451283,4711.206241500001,67.2434493383855,False,False
standard,Adaptive-EKF,straight,high,30.0,0.1311964902132969,0.003194720480423847,0.13000356198067986,0.13238941844591395,0.13074724382686803,0.13279960664155208,0.015924798236918773,0.1311964902132969,0.003194720480423847,0.05892155401595241,0.002060924761077033,1.0757484005590174,0.012053946520900041,0.7294068619607659,1.312621028451283,0.8599433919222575,0.040611301054219485,0.7294068619607659,1.312621028451283,1342.4302494333324,24.3784155390059,True,True
standard,Adaptive-UKF,straight,high,30.0,0.06745331973860107,0.0035761437313406017,0.06611796572338947,0.06878867375381266,0.06798899691595037,0.05876487284206546,0.007975382248153806,0.06745331973860107,0.0035761437313406017,0.05441828466887712,0.0018661179015590332,1.0480923708257242,0.008490780298501723,0.7294068619607659,1.312621028451283,0.7273229741497876,0.052427821658142464,0.7294068619607659,1.312621028451283,5062.503716100004,665.2487003365401,True,False
