estimator,dropout,n,ate_mean,ate_std,ate_ci,rpe_mean,rpe_std,anis_mean,anis_std,anees_mean,anees_std,nis_ok,nees_ok,rt_mean,rt_std,lb,ub
EKF,0.0,50,0.037016325014921206,0.0010736952617001663,0.0002976131425866125,0.03731347288775963,0.004163160196877214,0.03014818901747536,0.000904182786736879,0.01903413777253292,0.0008832821725696014,False,False,2109.708667660011,1308.0027005639615,0.7294068619607659,1.312621028451283
EKF,0.1,50,0.03837498427885828,0.0011509560303117736,0.0003190287350413538,0.0385989748268828,0.005229809863951328,0.029595284051128098,0.0008270529375071028,0.01879011063165058,0.0009299317915218502,False,False,2028.1270829600135,1257.810917080283,0.7294068619607659,1.312621028451283
EKF,0.3,50,0.04202964311150364,0.001597421629573794,0.00044278268534079243,0.04189048761208812,0.0060484815124052845,0.028219979696197207,0.0009235529409560685,0.018184254904372782,0.001094215412054638,False,False,1811.8048516399858,1115.2179331718337,0.7294068619607659,1.312621028451283
EKF,0.5,50,0.047484492586520544,0.0018003815530543378,0.0004990403059160529,0.04631142863274335,0.0061413878806425865,0.026517593121822124,0.001130343355321595,0.017379673267497887,0.0010591781940667159,False,False,1669.1421636399991,1039.683653930367,0.7294068619607659,1.312621028451283
EKF,0.7,50,0.05569533625394161,0.002174232738208882,0.000602666567521596,0.05597158808148608,0.007819503439660563,0.023011040239563525,0.0011813892401789734,0.015880316081105964,0.001049136714814426,False,False,1511.6509192199921,943.5744719452013,0.7294068619607659,1.312621028451283
ES-EKF,0.0,50,0.037016325014921206,0.0010736952617001663,0.0002976131425866125,0.03731347288775963,0.004163160196877213,0.030148189017475357,0.000904182786736879,0.01903413777253292,0.0008832821725696013,False,False,2066.0667905399896,1283.8821419678484,0.7294068619607659,1.312621028451283
ES-EKF,0.1,50,0.03837498427885828,0.0011509560303117736,0.0003190287350413538,0.0385989748268828,0.005229809863951328,0.029595284051128098,0.0008270529375071028,0.01879011063165058,0.0009299317915218502,False,False,2026.000405480018,1262.577262514889,0.7294068619607659,1.312621028451283
ES-EKF,0.3,50,0.04202964311150363,0.001597421629573794,0.00044278268534079243,0.04189048761208813,0.0060484815124052845,0.028219979696197207,0.0009235529409560684,0.018184254904372782,0.001094215412054638,False,False,1846.2924368799895,1150.2799512294334,0.7294068619607659,1.312621028451283
ES-EKF,0.5,50,0.04748449258652054,0.001800381553054338,0.000499040305916053,0.04631142863274337,0.0061413878806425865,0.026517593121822124,0.0011303433553215949,0.017379673267497887,0.0010591781940667159,False,False,1621.4038470600096,1004.9898780882834,0.7294068619607659,1.312621028451283
ES-EKF,0.7,50,0.0556953362539416,0.0021742327382088815,0.0006026665675215959,0.05597158808148607,0.007819503439660563,0.023011040239563522,0.0011813892401789732,0.015880316081105964,0.001049136714814426,False,False,1459.3425478000017,904.7793808539262,0.7294068619607659,1.312621028451283
MACE-EKF,0.0,50,0.06288483948563846,0.001414146063037591,0.0003919812901387587,0.06287921326948637,0.008041734224883103,0.8770384967610206,0.02968238637831034,0.907054420271525,0.06043468025125156,True,True,3486.8845637600043,2181.315047374804,0.7294068619607659,1.312621028451283
MACE-EKF,0.1,50,0.06541024867672152,0.0014718504667226237,0.0004079761347975636,0.06605500176625861,0.009442306885765915,0.9351778144729742,0.043297553857500205,0.9921541641370404,0.06377089689410369,True,True,3204.489063160008,2000.5308959081094,0.7294068619607659,1.312621028451283
MACE-EKF,0.3,50,0.0728669052190551,0.002408026404039344,0.000667470865432411,0.07225037583859563,0.0098045750632416,1.224447580191003,0.10219148052417111,1.4957444656798689,0.1783969157046611,True,False,2794.9954925999964,1746.6771630186677,0.7294068619607659,1.312621028451283
MACE-EKF,0.5,50,0.08282222405119168,0.002417186901207507,0.0006700100257017371,0.08189117616136998,0.011851757049876325,1.6868235857799345,0.14176418894848153,2.4446614288899653,0.27921033411473906,False,False,2397.0876598399946,1503.933431697421,0.7294068619607659,1.312621028451283
MACE-EKF,0.7,50,0.08478984233921404,0.0032293823393016387,0.0008951391152563918,0.0835246698862205,0.012017710256525179,1.2672804341560533,0.1595842182727619,1.9336264615259637,0.22794784387251427,True,False,1740.49598564,1121.7895727753366,0.7294068619607659,1.312621028451283
MACE-UKF,0.0,15,0.0378803255069291,0.001295584224236361,0.0006556560802126602,0.03861827312642009,0.004712832976116747,0.8411795606196794,0.02128207425749026,0.5863809902021051,0.04541063504627716,True,False,809.3447645333375,30.091007849224333,0.7294068619607659,1.312621028451283
MACE-UKF,0.1,15,0.038557341608616215,0.001007171365875045,0.0005096990357699741,0.03872377683972768,0.0033642819228491857,0.8327011308456719,0.0316444828494267,0.5625539863164357,0.02588890656185069,True,False,777.8559615999711,21.555932353214587,0.7294068619607659,1.312621028451283
MACE-UKF,0.3,15,0.041089628381413716,0.00162279507194038,0.0008212476162898544,0.04077385644858508,0.004983733323549673,0.8158360976915485,0.03806532791702783,0.5469689979952268,0.057358937729949905,True,False,704.994092600009,31.404647780813978,0.7294068619607659,1.312621028451283
