estimator,trajectory,noise_regime,n,ate_mean,ate_std,ate_ci,rpe_mean,rpe_std,anis_mean,anis_std,anees_mean,anees_std,nis_ok,nees_ok,rt_mean,rt_std,lb,ub
ES-EKF,circle,low,50,0.014867951658783123,0.00045447941282912634,0.000125975266090693,0.015117288260559154,0.0019160799454175255,0.004823628855087802,0.0001446498393754726,0.0030664235382407003,0.00015030704437838486,False,False,1966.5135556400044,1218.2343785779783,0.7294068619607659,1.312621028451283
ES-EKF,circle,medium,50,0.03716475111867271,0.0011356165395496455,0.0003147768451297169,0.037733926142281604,0.004783588544592305,0.030147565527734677,0.000904097798381616,0.01916384798710385,0.000939192150518588,False,False,1977.9155913199866,1229.358879466705,0.7294068619607659,1.312621028451283
ES-EKF,figure8,high,50,0.11102897061388545,0.0032204593778123953,0.000892665796518086,0.1113807522817254,0.012431337251863388,0.27132823386833027,0.00813732435884969,0.17129363471690703,0.007953613383854936,False,False,2040.3646979800044,1263.905868735515,0.7294068619607659,1.312621028451283
ES-EKF,figure8,low,50,0.014821477136128115,0.0004294915918851675,0.00011904899549716599,0.015060358651437488,0.0016898428665824174,0.004824248005261755,0.00014468216450973204,0.0030468010340862733,0.0001412041384027691,False,False,2204.9763358399946,1386.951475586394,0.7294068619607659,1.312621028451283
ES-EKF,figure8,medium,50,0.03701632501492121,0.0010736952617001663,0.0002976131425866125,0.03731347288775963,0.004163160196877214,0.030148189017475357,0.000904182786736879,0.01903413777253292,0.0008832821725696015,False,False,2086.0143538199973,1300.7748418588164,0.7294068619607659,1.312621028451283
ES-EKF,straight,high,50,0.11129653203402075,0.0031985134190019426,0.0008865826870906374,0.10893929880738411,0.014267251283001017,0.27156342709465525,0.008138190964221243,0.17197208684620818,0.007918820230145009,False,False,1825.4961070599848,1195.441001984094,0.7294068619607659,1.312621028451283
ES-EKF,straight,low,50,0.01663929303558335,0.0005010371280067206,0.0001388804063291955,0.01467422014620738,0.0018857779863324796,0.005056813867349411,0.00014484821957263443,0.0036946881460912973,0.0001857427875466939,False,False,2062.0880096000114,1286.2436647883924,0.7294068619607659,1.312621028451283
ES-EKF,straight,medium,50,0.03778630667761701,0.0010898639876054622,0.0003020948847530788,0.03643208821503798,0.0047618618703054935,0.030381338076077104,0.000904523480886383,0.01968771672321001,0.000915701215004312,False,False,2036.0168985200037,1266.6566867254946,0.7294068619607659,1.312621028451283
MACE-EKF,circle,high,50,0.13333278620338124,0.0035406672907327646,0.0009814229016713953,0.13570707229685366,0.01686847210429669,1.1845862893337844,0.04349259863552726,0.9591523644708402,0.0687192666080657,True,True,3400.0649959200005,2129.1279580165497,0.7294068619607659,1.312621028451283
MACE-EKF,circle,low,50,0.033432600363112235,0.0008626007613059609,0.00023910073232824035,0.03359197865256701,0.005014228867572298,0.5333010381992958,0.011875052219833336,0.8448680369129399,0.04770827297728884,False,True,3361.2587672600125,2099.7752706453502,0.7294068619607659,1.312621028451283
